Date,Predicted Sales
2017-12-31,3042.5408413333366
2018-01-01,2071.918779999998
2018-01-02,3686.5244700000007
2018-01-03,1699.3014353333324
2018-01-04,1117.9965266666652
2018-01-05,1132.708413333331
2018-01-06,1632.4128100000005
2018-01-07,1961.2606599999983
2018-01-08,1330.1886833333315
2018-01-09,880.5892066666672
2018-01-10,926.1776000000001
2018-01-11,1156.255203333334
2018-01-12,1806.508287000002
2018-01-13,2924.47410133332
2018-01-14,1997.1363466666678
2018-01-15,3442.707573333342
2018-01-16,3139.2794173333386
2018-01-17,2356.9864780000025
2018-01-18,2066.7277826666686
2018-01-19,1730.1197233333332
2018-01-20,1707.2334759999974
2018-01-21,2887.1280546666667
2018-01-22,2249.0566066666665
2018-01-23,1079.0774366666667
2018-01-24,901.5059933333328
2018-01-25,1576.3888966666723
2018-01-26,1824.0755346666704
2018-01-27,1169.7873699999989
2018-01-28,1054.00348
2018-01-29,1759.210296666668
